STRING	STRING
key	value
Config_achievement_2_1	角色
Config_achievement_9_1	角色成长
Config_achievement_10_1	角色等级达到18级
Config_achievement_2_2	
Config_achievement_9_2	
Config_achievement_10_2	角色等级达到20级
Config_achievement_2_3	
Config_achievement_9_3	
Config_achievement_10_3	角色等级达到25级
Config_achievement_2_4	
Config_achievement_9_4	
Config_achievement_10_4	角色等级达到30级
Config_achievement_2_5	
Config_achievement_9_5	
Config_achievement_10_5	角色等级达到35级
Config_achievement_2_6	
Config_achievement_9_6	
Config_achievement_10_6	角色等级达到40级
Config_achievement_2_7	
Config_achievement_9_7	
Config_achievement_10_7	角色等级达到45级
Config_achievement_2_8	
Config_achievement_9_8	
Config_achievement_10_8	角色等级达到50级
Config_achievement_2_9	
Config_achievement_9_9	
Config_achievement_10_9	角色等级达到55级
Config_achievement_2_10	
Config_achievement_9_10	
Config_achievement_10_10	角色等级达到60级
Config_achievement_2_11	
Config_achievement_9_11	
Config_achievement_10_11	角色等级达到65级
Config_achievement_2_12	
Config_achievement_9_12	
Config_achievement_10_12	角色等级达到70级
Config_achievement_2_13	
Config_achievement_9_13	
Config_achievement_10_13	角色等级达到75级
Config_achievement_2_14	
Config_achievement_9_14	
Config_achievement_10_14	角色等级达到80级
Config_achievement_2_15	
Config_achievement_9_15	
Config_achievement_10_15	角色等级达到85级
Config_achievement_2_16	
Config_achievement_9_16	
Config_achievement_10_16	角色等级达到90级
Config_achievement_2_17	
Config_achievement_9_17	
Config_achievement_10_17	角色等级达到95级
Config_achievement_2_18	
Config_achievement_9_18	
Config_achievement_10_18	角色等级达到100级
Config_achievement_2_19	
Config_achievement_9_19	
Config_achievement_10_19	角色等级达到105级
Config_achievement_2_20	
Config_achievement_9_20	
Config_achievement_10_20	角色等级达到110级
Config_achievement_2_21	
Config_achievement_9_21	
Config_achievement_10_21	角色等级达到115级
Config_achievement_2_22	
Config_achievement_9_22	
Config_achievement_10_22	角色等级达到120级
Config_achievement_2_23	
Config_achievement_9_23	
Config_achievement_10_23	角色等级达到125级
Config_achievement_2_24	
Config_achievement_9_24	
Config_achievement_10_24	角色等级达到130级
Config_achievement_2_25	
Config_achievement_9_25	
Config_achievement_10_25	角色等级达到135级
Config_achievement_2_26	
Config_achievement_9_26	
Config_achievement_10_26	角色等级达到140级
Config_achievement_2_27	
Config_achievement_9_27	
Config_achievement_10_27	角色等级达到145级
Config_achievement_2_28	
Config_achievement_9_28	
Config_achievement_10_28	角色等级达到150级
Config_achievement_2_29	
Config_achievement_9_29	
Config_achievement_10_29	角色等级达到155级
Config_achievement_2_30	
Config_achievement_9_30	
Config_achievement_10_30	角色等级达到160级
Config_achievement_2_31	
